USERID,BROWSER_COUNT,COURSE_COUNT,COURSE_LAST_ACCESS,COURSE_SUM_VIEW,COURSE_AVG_SCORE,EXAM_AH_SCORE,EXAM_WRITEN_SCORE,EXAM_MIDDLE_SCORE,EXAM_LAB,EXAM_PROGRESS,EXAM_GROUP_SCORE,EXAM_FACE_SCORE,EXAM_ONLINE_SCORE,NODEBB_LAST_POST,NODEBB_CHANNEL_COUNT,NODEBB_TOPIC_COUNT,COURSE_SUM_VIDEO_LEN,SEX,MAJORID,STATUS,GRADE,CLASSID,EXAM_HOMEWORK,EXAM_LABSCORE,EXAM_OTHERSCORE,NODEBB_PARTICIPATIONRATE,COURSE_WORKTIME,COURSE_WORKACCURACYRATE,COURSE_WORKCOMPLETERATE,NODEBB_POSTSCOUNT,NODEBB_NORMALBBSPOSTSCOUONT,NODEBB_REALBBSARCHIVECOUNT,NORMALBBSARCHIVECOUNT,COURSE_WORKCOUNT,STUNO,ID,STUID,COURSEOPENID,HOMEWORKSCORE,WRITTENASSIGNMENTSCORE,MIDDLEASSIGNMENTSCORE,LABSCORE,OTHERSCORE,TOTALSCORE,STUDYTERM,COURSEID,EXAMNUM,PROCESS,GROUPSTUDYSCORE,FACESTUDYSCORE,ONLINESTUDYSCORE
310_20168310450070,402.0,3132,1513760925.0,272.28520833333334,,75.06666666666666,9.533333333333333,5.6,30.833333333333332,5.4,0.0,8.403333333333334,0.8833333333333333,,,,1731.6,女,310_260000247,注册,201603,310_20168310450037,36.733333333333334,13.866666666666667,0,0.0,7352.9,32.358,66.667,0.0,0.0,0.0,0.0,5.8,20168310450070,b8xhab6ooibp37xkmv3pza,310_20168310450070,a0euanqnrrzbdsesy4rymw,36,0,0,0,0,36,201703,310_260000656,"2,7510",9,0,0.0,0.0
310_20158310100790,178.0,228,1514912315.0,0.020277777777777777,,93.42857142857143,7.142857142857143,8.0,32.75,2.4285714285714284,4.285714285714286,4.571428571428571,2.5714285714285716,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,40.142857142857146,26.714285714285715,0,1.785,5279.0,32.0275,50.0,1.25,0.0,0.25,0.0,4.75,20158310100790,o8-1acco3qpb9fswur2x-a,310_20158310100790,a0euanqnrrzbdsesy4rymw,38,0,17,0,0,93,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20158310100799,290.0,11,1514468904.0,0.016296296296296295,0.0,93.66666666666667,8.333333333333334,9.333333333333334,,0.16666666666666666,5.0,4.833333333333333,3.0,1490283262.0,2.0,2.0,0.0,女,310_260000090,毕业,201503,310_20158310100099,48.333333333333336,14.833333333333334,0,0.0,4292.25,10.205,50.0,0.0,0.0,0.0,0.0,12.75,20158310100799,pvxlaa-oxqxh0ftpt-avog,310_20158310100799,a0euanqnrrzbdsesy4rymw,36,0,17,0,0,88,201703,310_260000656,"2,7510",0,0,17.0,18.0
310_20158310100797,57.0,12,1514120627.0,0.0018055555555555555,,94.57142857142857,7.142857142857143,8.0,31.25,0.0,4.285714285714286,4.571428571428571,2.5714285714285716,1513935049.0,1.0,1.0,0.0,女,310_260000090,毕业,201503,310_20158310100099,42.0,26.0,0,1.785,2327.5,46.05,50.0,0.75,0.0,0.25,0.0,3.0,20158310100797,dkaoar6o4apn6falruinva,310_20158310100797,a0euanqnrrzbdsesy4rymw,37,0,17,0,0,92,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20158310100752,93.0,36,1514120087.0,0.005,0.6688172043010753,89.71428571428571,7.142857142857143,7.571428571428571,27.833333333333332,0.14285714285714285,4.285714285714286,4.057142857142857,2.5714285714285716,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,39.285714285714285,24.857142857142858,0,1.785,3304.25,30.6,50.0,1.0,0.0,0.25,0.0,5.0,20158310100752,iahkap6nrzdazfmcfosgag,310_20158310100752,a0euanqnrrzbdsesy4rymw,36,0,16,0,0,86,201703,310_260000656,"2,7510",0,0,16.4,18.0
310_20158310100808,166.0,12,1513620090.0,,,95.57142857142857,7.142857142857143,7.857142857142857,31.833333333333332,0.0,4.285714285714286,4.571428571428571,2.5714285714285716,1490359916.0,3.0,3.0,0.0,女,310_260000090,毕业,201503,310_20158310100099,42.857142857142854,26.285714285714285,0,0.0,7976.5,48.1825,50.0,0.0,0.0,0.0,0.0,5.25,20158310100808,zsaoaswokklkggbqf137vg,310_20158310100808,a0euanqnrrzbdsesy4rymw,40,0,15,0,0,93,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20158310100770,152.0,348,1514883481.0,394.76875,,95.0,7.142857142857143,8.0,33.7,2.2857142857142856,4.285714285714286,4.485714285714286,2.5714285714285716,1481743996.0,1.0,1.0,0.0,女,310_260000090,毕业,201503,310_20158310100099,41.714285714285715,26.857142857142858,0,1.785,2102.5,47.775,50.0,3.0,0.0,0.25,0.0,2.25,20158310100770,thfxabqosytlnkj9nhxkzg,310_20158310100770,a0euanqnrrzbdsesy4rymw,39,0,17,0,0,93,201703,310_260000656,"2,7510",0,0,19.4,18.0
310_20158310100756,61.0,13,1514644700.0,,,93.375,6.25,6.75,34.15,0.0,3.75,7.225,2.25,,,,0.0,女,310_260000090,注册,201503,310_20158310100099,36.375,30.75,0,0.0,2581.25,29.5425,50.0,0.0,0.0,0.0,0.0,5.5,20158310100756,fgkwaskow4vngkhumx5kfw,310_20158310100756,a0euanqnrrzbdsesy4rymw,37,0,15,0,0,86,201703,310_260000656,"2,7510",0,0,15.8,18.0
310_20158310100757,65.0,12,1510702721.0,0.0009722222222222222,,89.14285714285714,7.142857142857143,7.571428571428571,27.5,0.0,4.285714285714286,3.9714285714285715,2.5714285714285716,1481750017.0,1.0,1.0,0.0,女,310_260000090,毕业,201503,310_20158310100099,42.285714285714285,21.285714285714285,0,0.0,5774.25,41.42,50.0,0.0,0.0,0.0,0.0,4.0,20158310100757,69t5asoojl5cmjiqypv21w,310_20158310100757,a0euanqnrrzbdsesy4rymw,39,0,14,0,0,87,201703,310_260000656,"2,7510",0,0,15.8,18.0
310_20158310100775,153.0,70,1513889990.0,0.0337037037037037,,83.25,6.25,4.5,18.3,0.625,3.75,5.1,2.875,,,,0.0,女,310_260000090,注册,201503,310_20158310100099,37.625,23.125,0,0.0,3653.25,13.1175,50.0,0.0,0.0,0.0,0.0,9.5,20158310100775,op1xassot7lafwj-nkzfiw,310_20158310100775,a0euanqnrrzbdsesy4rymw,29,0,0,0,0,63,201703,310_260000656,"2,7510",0,0,15.8,18.0
310_20158310100803,133.0,12,1513936421.0,0.0006944444444444445,,93.85714285714286,7.142857142857143,7.571428571428571,30.5,0.14285714285714285,4.285714285714286,4.571428571428571,2.5714285714285716,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,42.0,25.714285714285715,0,1.785,4169.75,11.85,50.0,0.25,0.0,0.25,0.0,13.75,20158310100803,omkbabiotkxfi0rb-xzlhg,310_20158310100803,a0euanqnrrzbdsesy4rymw,38,0,14,0,0,90,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20158310100805,65.0,12,1513948854.0,,,85.71428571428571,7.142857142857143,7.857142857142857,16.708333333333332,0.0,4.285714285714286,3.9714285714285715,2.5714285714285716,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,36.57142857142857,23.285714285714285,0,0.0,2726.75,46.3125,50.0,0.0,0.0,0.0,0.0,2.5,20158310100805,h4tqad-oblhoke7selvqoq,310_20158310100805,a0euanqnrrzbdsesy4rymw,37,0,16,0,0,87,201703,310_260000656,"2,7510",0,0,15.8,18.0
310_20158310100760,95.0,384,1514120185.0,1196.3190277777778,,93.57142857142857,7.142857142857143,7.571428571428571,31.083333333333332,0.42857142857142855,4.285714285714286,4.771428571428571,2.5714285714285716,1490281472.0,3.0,3.0,0.0,女,310_260000090,毕业,201503,310_20158310100099,41.285714285714285,26.0,0,0.0,4638.75,36.47,50.0,0.0,0.0,0.0,0.0,4.75,20158310100760,yjd0acqouyfoe48xyybhjw,310_20158310100760,a0euanqnrrzbdsesy4rymw,35,0,16,0,0,88,201703,310_260000656,"2,7510",0,0,19.4,18.0
310_20158310100771,172.0,11,1511272164.0,,,93.83333333333333,8.333333333333334,8.833333333333334,,0.0,5.0,5.333333333333333,3.0,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,48.666666666666664,14.666666666666666,0,0.0,4256.75,15.07,50.0,0.0,0.0,0.0,0.0,10.25,20158310100771,tdx5ac2oeihmten4oftmzg,310_20158310100771,a0euanqnrrzbdsesy4rymw,38,0,16,0,0,92,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20158310100769,78.0,12,1510424739.0,,,91.71428571428571,7.142857142857143,5.571428571428571,26.55,0.14285714285714285,4.285714285714286,4.571428571428571,2.5714285714285716,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,41.857142857142854,25.714285714285715,0,0.0,4337.75,36.0625,50.0,0.0,0.0,0.0,0.0,3.75,20158310100769,w8u5ar-ockbpoeozfxsplg,310_20158310100769,a0euanqnrrzbdsesy4rymw,37,0,0,0,0,75,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20158310100802,115.0,48,1514891449.0,0.015833333333333335,,83.88888888888889,11.222222222222221,6.555555555555555,20.5,1.8888888888888888,3.3333333333333335,6.477777777777778,4.222222222222222,,,,2.6666666666666665,女,310_260000090,注册,201503,310_20158310100099,36.22222222222222,15.777777777777779,0,0.0,7127.0,59.096666666666664,66.66666666666667,0.0,0.0,0.0,0.0,4.0,20158310100802,ehmbasco4r9ljwhfolbhqw,310_20158310100802,a0euanqnrrzbdsesy4rymw,38,0,0,0,0,72,201703,310_260000656,"2,7510",0,0,15.8,18.0
310_20158310100791,120.0,12,1514391405.0,,,94.85714285714286,7.142857142857143,8.0,31.583333333333332,0.0,4.285714285714286,4.571428571428571,2.5714285714285716,,,,0.0,男,310_260000090,毕业,201503,310_20158310100099,42.142857142857146,26.142857142857142,0,0.0,4647.0,44.8125,50.0,0.0,0.0,0.0,0.0,5.0,20158310100791,16nlasoobbzeq8loi8qlnq,310_20158310100791,a0euanqnrrzbdsesy4rymw,39,0,17,0,0,94,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20158310100810,222.0,24,1513180710.0,0.17875,,90.71428571428571,7.142857142857143,7.571428571428571,23.625,2.5714285714285716,4.285714285714286,4.4,2.5714285714285716,1512508967.0,1.0,1.0,321.75,女,310_260000090,毕业,201503,310_20158310100099,40.57142857142857,24.142857142857142,0,4.66,2072.5,35.2925,50.0,2.75,0.0,0.75,0.0,3.75,20158310100810,lvxiarwoaqhek2eqqjz84g,310_20158310100810,a0euanqnrrzbdsesy4rymw,39,0,15,0,0,91,201703,310_260000656,"2,7510",0,0,18.8,18.0
310_20158310100787,42.0,12,1509184716.0,,,91.14285714285714,7.142857142857143,5.571428571428571,31.166666666666668,0.0,4.285714285714286,4.571428571428571,2.5714285714285716,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,41.0,26.0,0,0.0,2523.25,46.3125,50.0,0.0,0.0,0.0,0.0,2.25,20158310100787,ywoiabmogrhnca53pmwtda,310_20158310100787,a0euanqnrrzbdsesy4rymw,37,0,0,0,0,75,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20158310100768,70.0,84,1512829412.0,0.02361111111111111,,88.85714285714286,7.142857142857143,5.571428571428571,29.333333333333332,0.42857142857142855,4.285714285714286,3.9714285714285715,2.5714285714285716,1481794146.0,1.0,1.0,0.0,女,310_260000090,毕业,201503,310_20158310100099,40.57142857142857,24.714285714285715,0,0.0,3243.5,40.98,50.0,0.0,0.0,0.0,0.0,2.5,20158310100768,muy7abkojlrl5kf3ietpjg,310_20158310100768,a0euanqnrrzbdsesy4rymw,38,0,0,0,0,72,201703,310_260000656,"2,7510",0,0,15.8,18.0
310_20158310100754,13.0,17,1514386681.0,,,59.0,5.916666666666667,1.25,24.625,0.0,2.5,9.795833333333333,3.4166666666666665,,,,0.0,女,310_260000090,注册,201503,310_20158310100099,20.666666666666668,15.416666666666666,0,0.0,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,20158310100754,g3ktaeyo2rtlvpykbyxnua,310_20158310100754,a0euanqnrrzbdsesy4rymw,0,0,0,0,0,32,201703,310_260000656,"2,7510",0,0,15.8,16.0
310_20158310100813,139.0,708,1514557180.0,680.3231944444444,,90.0,7.142857142857143,7.428571428571429,30.75,8.857142857142858,4.285714285714286,3.9714285714285715,2.5714285714285716,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,39.0,25.571428571428573,0,0.0,2790.0,25.7675,50.0,0.0,0.0,0.0,0.0,8.0,20158310100813,qzueabkoyb9on1rshm1ora,310_20158310100813,a0euanqnrrzbdsesy4rymw,39,0,15,0,0,88,201703,310_260000656,"2,7510",0,0,15.8,18.0
310_20158310100780,78.0,12,1514120157.0,,,90.0,7.142857142857143,7.857142857142857,23.833333333333332,0.0,4.285714285714286,3.9714285714285715,2.5714285714285716,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,41.142857142857146,23.0,0,0.0,3597.25,34.855,50.0,0.0,0.0,0.0,0.0,5.25,20158310100780,ihghacoohkri60p4kjj4aq,310_20158310100780,a0euanqnrrzbdsesy4rymw,38,0,16,0,0,88,201703,310_260000656,"2,7510",0,0,15.8,18.0
310_20158310100811,37.0,14,1512232260.0,,,73.25,6.25,2.125,26.6875,0.0,3.75,3.775,2.25,1481749371.0,1.0,5.0,0.0,女,310_260000090,毕业,201503,310_20158310100099,33.5,21.625,0,0.0,2002.0,36.192,60.0,0.0,0.0,0.0,0.0,2.6,20158310100811,n6xlad2o7qbke4z1lvxnlq,310_20158310100811,a0euanqnrrzbdsesy4rymw,36,0,17,0,0,89,201703,310_260000656,"2,7510",0,0,18.2,18.0
310_20158310100807,147.0,12,1513934297.0,,,93.42857142857143,7.142857142857143,8.142857142857142,33.6875,0.0,4.285714285714286,4.571428571428571,2.5714285714285716,1481748922.0,1.0,10.0,0.0,女,310_260000090,毕业,201503,310_20158310100099,41.714285714285715,25.0,0,1.785,4331.5,17.5875,50.0,0.5,0.0,0.25,0.0,7.75,20158310100807,ojgxaeioml1k3x5wnmyi7a,310_20158310100807,a0euanqnrrzbdsesy4rymw,39,0,20,0,0,97,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20158310100766,74.0,12,1513931348.0,,,92.85714285714286,7.142857142857143,8.0,30.916666666666668,0.0,4.285714285714286,3.9714285714285715,2.5714285714285716,,,,0.0,女,310_260000090,毕业,201503,310_20158310100099,41.0,25.857142857142858,0,0.0,1875.75,37.65,50.0,0.0,0.0,0.0,0.0,3.5,20158310100766,4bn4abqovkrjmofqze0bug,310_20158310100766,a0euanqnrrzbdsesy4rymw,35,0,17,0,0,86,201703,310_260000656,"2,7510",0,0,15.8,18.0
310_20158310450175,190.0,168,1512642883.0,0.06238425925925926,,77.375,13.375,3.125,30.333333333333332,1.75,3.1875,4.35625,0.0,,,,77.0,女,310_260000090,毕业,201503,310_20158310450099,30.125,23.25,0,0.0,5814.0,23.622,40.0,0.0,0.0,0.0,0.0,3.6,20158310450175,koivarcoooxpa2xbu4ifnw,310_20158310450175,a0euanqnrrzbdsesy4rymw,29,0,0,0,0,29,201703,310_260000656,"2,7510",0,0,0.0,0.0
310_20158310450173,269.0,17,1512768880.0,,,69.7,10.7,4.5,24.0625,0.0,2.55,7.445,1.98,,,,0.0,女,310_260000090,注册,201503,310_20158310450099,23.4,19.1,0,0.0,1629.3333333333333,8.605,50.0,0.0,0.0,0.0,0.0,11.333333333333334,20158310450173,oookatmoianeu28xffpo6g,310_20158310450173,a0euanqnrrzbdsesy4rymw,34,0,0,0,0,34,201703,310_260000656,"2,7510",0,0,0.0,0.0
310_20168310100442,,18,,,,46.25,15.166666666666666,2.6666666666666665,,0.0,0.0,13.65,3.8333333333333335,,,,0.0,女,310_260000247,注册,201603,310_20168310100049,8.333333333333334,2.5,0,0.0,0.0,34.4,80.0,0.0,0.0,0.0,0.0,2.0,20168310100442,3pcuaeyojodcvucr0uaj3a,310_20168310100442,a0euanqnrrzbdsesy4rymw,0,0,0,0,0,32,201703,310_260000656,"2,7510",0,0,15.8,16.0
310_20168310100465,130.0,32,1514023261.0,0.0,,90.21428571428571,14.0,6.857142857142857,39.6875,0.0,0.0,13.032142857142857,3.4285714285714284,1527071537.0,5.0,5.0,0.0,女,310_260000247,注册,201603,310_20168310100049,36.714285714285715,16.142857142857142,0,4.0,7710.2,48.104,80.0,0.4,0.0,0.4,0.0,5.6,20168310100465,l1koar6owitegq4iwbslng,310_20168310100465,a0euanqnrrzbdsesy4rymw,39,0,19,0,0,96,201703,310_260000656,"2,7510",0,0,19.4,18.0
310_20168310100446,135.0,16,1512663944.0,,,88.64285714285714,13.928571428571429,6.642857142857143,41.0,0.7142857142857143,0.0,12.757142857142858,3.4285714285714284,1495746771.0,5.0,6.0,0.0,女,310_260000247,注册,201603,310_20168310100049,35.357142857142854,16.5,0,0.0,3279.2,52.57,80.0,0.0,0.0,0.0,0.0,2.8,20168310100446,qu44atuotb1iuawtaixq-w,310_20168310100446,a0euanqnrrzbdsesy4rymw,28,0,15,0,0,78,201703,310_260000656,"2,7510",0,0,17.0,18.0
310_20168310100466,51.0,15,1514057555.0,,,87.07692307692308,14.692307692307692,6.769230769230769,39.85,0.0,0.0,12.919230769230769,3.3076923076923075,1513894262.0,2.0,2.0,0.0,女,310_260000247,注册,201603,310_20168310100049,33.38461538461539,16.0,0,4.87,2938.8,48.716,80.0,0.6,0.0,0.6,0.0,3.6,20168310100466,pkxpas6ofl9hge3rvvvcea,310_20168310100466,a0euanqnrrzbdsesy4rymw,33,0,14,0,0,82,201703,310_260000656,"2,7510",0,0,17.0,18.0
310_20168310100464,44.0,112,1513890045.0,0.004629629629629629,,88.21428571428571,14.285714285714286,6.928571428571429,41.575,0.8571428571428571,0.0,13.471428571428572,3.2857142857142856,1482352930.0,3.0,3.0,0.0,女,310_260000247,注册,201603,310_20168310100049,33.57142857142857,16.642857142857142,0,4.0,0.0,54.92,80.0,0.6,0.0,0.4,0.0,2.2,20168310100464,8senaeyobr5d6vharjbuqq,310_20168310100464,a0euanqnrrzbdsesy4rymw,0,0,15,0,0,51,201703,310_260000656,"2,7510",0,0,20.0,16.0
310_20168310100467,27.0,210,1514555723.0,0.00798611111111111,,87.38461538461539,14.384615384615385,5.923076923076923,69.3,0.0,0.0,13.996153846153845,3.6884615384615387,1495720933.0,3.0,4.0,0.0,女,310_260000247,注册,201603,310_20168310100049,38.92307692307692,10.461538461538462,0,0.0,855.25,62.3825,75.0,0.0,0.0,0.0,0.0,4.0,20168310100467,jb7facmowjxd6ogev7bb9q,310_20168310100467,a0euanqnrrzbdsesy4rymw,32,0,0,0,0,70,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20168310100430,380.0,16,1513847439.0,,,88.21428571428571,14.142857142857142,6.714285714285714,39.5625,0.0,0.0,12.307142857142857,3.425,1496161808.0,10.0,12.0,0.0,女,310_260000247,注册,201603,310_20168310100049,35.714285714285715,15.785714285714286,0,2.0,4662.6,51.406,80.0,0.2,0.0,0.2,0.0,5.2,20168310100430,asjuaeqoojbjm0wky18uxq,310_20168310100430,a0euanqnrrzbdsesy4rymw,38,0,15,0,0,88,201703,310_260000656,"2,7510",0,0,16.4,18.0
310_20168310100437,85.0,15,1513111955.0,,,89.71428571428571,14.285714285714286,6.642857142857143,40.1875,0.0,0.0,12.67142857142857,3.4285714285714284,1493413070.0,2.0,2.0,0.0,女,310_260000247,注册,201603,310_20168310100049,36.285714285714285,16.285714285714285,0,0.0,3590.6666666666665,82.16,100.0,0.0,0.0,0.0,0.0,7.666666666666667,20168310100437,060iatuodj9fkshjlwu7gg,310_20168310100437,a0euanqnrrzbdsesy4rymw,36,0,15,0,0,89,201703,310_260000656,"2,7510",0,0,20.0,18.0
310_20168310100452,,18,,,,53.75,11.375,2.0,14.875,0.0,0.0,11.959375,2.871875,1482317217.0,1.0,1.0,0.0,女,310_260000247,注册,201603,310_20168310100049,20.0,5.5,0,0.0,678.0,64.784,80.0,0.0,0.0,0.0,0.0,4.4,20168310100452,jenuatuofb5i58di98vr2q,310_20168310100452,a0euanqnrrzbdsesy4rymw,0,0,0,0,0,32,201703,310_260000656,"2,7510",0,0,15.8,16.0
310_20168310100457,313.0,32,1513874571.0,0.0014814814814814814,,89.57142857142857,14.071428571428571,6.928571428571429,36.0625,0.07142857142857142,0.0,13.182142857142857,3.425,1513863519.0,6.0,7.0,0.0,女,310_260000247,注册,201603,310_20168310100049,36.857142857142854,15.142857142857142,0,2.0,8903.4,46.918,80.0,0.2,0.0,0.2,0.0,7.4,20168310100457,etrqabmopplju2nyssvs2w,310_20168310100457,a0euanqnrrzbdsesy4rymw,40,0,16,0,0,93,201703,310_260000656,"2,7510",0,0,19.4,18.0
310_20168310100468,213.0,187,1514159216.0,0.013773148148148149,,75.93333333333334,12.533333333333333,5.2,40.5875,2.8,0.0,11.36,3.0,1495273775.0,2.0,4.0,0.0,女,310_260000247,注册,201603,310_20168310100049,28.8,14.933333333333334,0,0.0,4782.4,49.394,80.0,0.0,0.0,0.0,0.0,4.8,20168310100468,jzh9auqoijxdnlftblk7ja,310_20168310100468,a0euanqnrrzbdsesy4rymw,34,0,15,0,0,85,201703,310_260000656,"2,7510",0,0,19.4,16.0
